date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:31:28	762/762	---M--	404	error ('Not%20Found')	text/html	date:Sun,%2020%20Aug%202023%2015:01:28%20GMT	http://localhost:9494/robots.txt		(from )
20:31:29	15051/15051	U--MC-	200	updated ('OK')	text/html	date:Sun,%2020%20Aug%202023%2015:01:28%20GMT	http://localhost:9494/Hospital_Management_System/	P:/BCA%20Sem-5/NetBeansProjects/Hospital%20Management%20System/Hospital%20Management%20System/localhost_9494/Hospital_Management_System/index.html	(from )
20:31:29	232914/232914	---M-Z	200	added ('OK')	text/css	etag:W/%2238dd2-sjFlHg/Wi72HWBifvTZCxGLTT6Y%22	https://cdn.jsdelivr.net/npm/bootstrap@5.3.0/dist/css/bootstrap.min.css	P:/BCA%20Sem-5/NetBeansProjects/Hospital%20Management%20System/Hospital%20Management%20System/cdn.jsdelivr.net/npm/bootstrap@5.3.0/dist/css/bootstrap.min.css	(from http://localhost:9494/Hospital_Management_System/)
20:31:29	102025/102025	---M-Z	200	added ('OK')	text/css	etag:%226497b725-547f%22	https://cdnjs.cloudflare.com/ajax/libs/font-awesome/6.4.0/css/all.min.css	P:/BCA%20Sem-5/NetBeansProjects/Hospital%20Management%20System/Hospital%20Management%20System/cdnjs.cloudflare.com/ajax/libs/font-awesome/6.4.0/css/all.min.css	(from http://localhost:9494/Hospital_Management_System/)
20:31:30	71750/71750	---M-Z	200	added ('OK')	text/css	etag:%22649564fe-13e7%22	https://cdnjs.cloudflare.com/ajax/libs/animate.css/4.1.1/animate.min.css	P:/BCA%20Sem-5/NetBeansProjects/Hospital%20Management%20System/Hospital%20Management%20System/cdnjs.cloudflare.com/ajax/libs/animate.css/4.1.1/animate.min.css	(from http://localhost:9494/Hospital_Management_System/)
20:31:30	80421/80421	---M-Z	200	added ('OK')	application/javascript	etag:W/%2213a25-1yL6mYLaiqSN+IJRuxiX8Twds7k%22	https://cdn.jsdelivr.net/npm/bootstrap@5.3.0/dist/js/bootstrap.bundle.min.js	P:/BCA%20Sem-5/NetBeansProjects/Hospital%20Management%20System/Hospital%20Management%20System/cdn.jsdelivr.net/npm/bootstrap@5.3.0/dist/js/bootstrap.bundle.min.js	(from http://localhost:9494/Hospital_Management_System/)
20:31:32	15051/15051	---MC-	200	added ('OK')	text/html	date:Sun,%2020%20Aug%202023%2015:01:31%20GMT	http://localhost:9494/Hospital_Management_System/index.jsp	P:/BCA%20Sem-5/NetBeansProjects/Hospital%20Management%20System/Hospital%20Management%20System/localhost_9494/Hospital_Management_System/index-2.html	(from http://localhost:9494/Hospital_Management_System/)
20:31:32	2818/2818	---M--	200	added ('OK')	image/png	etag:W/%222818-1687087681276%22	http://localhost:9494/Hospital_Management_System/Images/hospital.png	P:/BCA%20Sem-5/NetBeansProjects/Hospital%20Management%20System/Hospital%20Management%20System/localhost_9494/Hospital_Management_System/Images/hospital.png	(from http://localhost:9494/Hospital_Management_System/)
20:31:32	8658/8658	---MC-	200	added ('OK')	text/html	date:Sun,%2020%20Aug%202023%2015:01:31%20GMT	http://localhost:9494/Hospital_Management_System/admin_login.jsp	P:/BCA%20Sem-5/NetBeansProjects/Hospital%20Management%20System/Hospital%20Management%20System/localhost_9494/Hospital_Management_System/admin_login.html	(from http://localhost:9494/Hospital_Management_System/)
20:31:32	7792/7792	---M--	200	added ('OK')	text/html	date:Sun,%2020%20Aug%202023%2015:01:32%20GMT	http://localhost:9494/Hospital_Management_System/doctor_login.jsp	P:/BCA%20Sem-5/NetBeansProjects/Hospital%20Management%20System/Hospital%20Management%20System/localhost_9494/Hospital_Management_System/doctor_login.html	(from http://localhost:9494/Hospital_Management_System/)
20:31:34	8234/8234	---MC-	200	added ('OK')	text/html	date:Sun,%2020%20Aug%202023%2015:01:32%20GMT	http://localhost:9494/Hospital_Management_System/user_login.jsp	P:/BCA%20Sem-5/NetBeansProjects/Hospital%20Management%20System/Hospital%20Management%20System/localhost_9494/Hospital_Management_System/user_login.html	(from http://localhost:9494/Hospital_Management_System/)
20:31:34	8741/8741	---M--	200	added ('OK')	image/png	etag:W/%228741-1687087680967%22	http://localhost:9494/Hospital_Management_System/Images/admin%20login.png	P:/BCA%20Sem-5/NetBeansProjects/Hospital%20Management%20System/Hospital%20Management%20System/localhost_9494/Hospital_Management_System/Images/admin%20login.png	(from http://localhost:9494/Hospital_Management_System/)
20:31:36	13888/13888	---M--	200	added ('OK')	image/png	etag:W/%2213888-1687087681327%22	http://localhost:9494/Hospital_Management_System/Images/user%20login.png	P:/BCA%20Sem-5/NetBeansProjects/Hospital%20Management%20System/Hospital%20Management%20System/localhost_9494/Hospital_Management_System/Images/user%20login.png	(from http://localhost:9494/Hospital_Management_System/)
20:31:37	24317/24317	---M--	200	added ('OK')	image/png	etag:W/%2224317-1687087681223%22	http://localhost:9494/Hospital_Management_System/Images/doctor%20login.png	P:/BCA%20Sem-5/NetBeansProjects/Hospital%20Management%20System/Hospital%20Management%20System/localhost_9494/Hospital_Management_System/Images/doctor%20login.png	(from http://localhost:9494/Hospital_Management_System/)
20:31:41	284996/284996	---M-Z	200	added ('OK')	application/javascript	etag:W/%2228feccc0-45944%22	https://code.jquery.com/jquery-3.7.0.js	P:/BCA%20Sem-5/NetBeansProjects/Hospital%20Management%20System/Hospital%20Management%20System/code.jquery.com/jquery-3.7.0.js	(from http://localhost:9494/Hospital_Management_System/)
